,R_kpc,R_pix_14B088
0,0.24,19.6442672616
1,0.28,22.9183118052
2,0.46,37.6515122515
3,0.64,52.3847126977
4,0.73,59.7513129208
5,0.82,67.1179131439
6,1.08,88.3992026773
7,1.22,99.8583585799
8,1.45,118.684114706
9,1.71,139.965404239
10,1.87,153.061582414
11,2.2,180.072449898
12,2.28,186.620538985
13,2.69,220.179495557
14,2.7,220.998006693
15,3.12,255.375474401
16,3.18,260.286541217
17,3.53,288.934430973
18,3.66,299.57507574
19,4.15,339.682121399
20,4.64,379.789167058
21,5.13,419.896212717
22,5.62,460.003258376
23,6.11,500.110304036
24,6.6,540.217349695
25,7.09,580.324395354
26,7.57,619.612929877
27,8.06,659.719975536
28,8.55,699.827021196
29,9.04,739.934066855
30,9.53,780.041112514
31,10.02,820.148158173
32,10.51,860.255203832
33,10.99,899.543738355
34,11.48,939.650784015
35,11.97,979.757829674
36,12.46,1019.86487533
37,12.95,1059.97192099
38,13.44,1100.07896665
39,13.93,1140.18601231
40,14.41,1179.47454683
41,14.9,1219.58159249
42,15.39,1259.68863815
43,15.88,1299.79568381
44,16.37,1339.90272947
45,16.86,1380.00977513
46,17.35,1420.11682079
47,17.84,1460.22386645
48,18.32,1499.51240097
49,18.81,1539.61944663
50,19.3,1579.72649229
51,19.79,1619.83353795
52,20.28,1659.94058361
53,20.77,1700.04762927
54,21.26,1740.15467493
55,21.74,1779.44320945
56,22.23,1819.55025511
57,22.72,1859.65730077
